                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.074,                 1.4835,                 1.2045,                0.65316,                0.51952,                0.61304,                 0.4544,                 1.0845,                 1.1253,                  1.126,               8.33e-06,               8.33e-06,               8.33e-06
                      1,                 1.2151,                 1.4319,                 1.2606,                0.66994,                0.54492,                0.62695,                0.46585,                 1.0758,                 1.0879,                 1.1214,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      2,                 1.1616,                 1.3298,                 1.2239,                0.67236,                0.57062,                0.64347,                0.47566,                 1.0673,                 1.0676,                 1.1172,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      3,                 1.1343,                 1.3206,                 1.2207,                0.67117,                0.58289,                 0.6504,                0.48246,                 1.0527,                 1.0459,                 1.1075,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      4,                 1.1346,                 1.2556,                    1.2,                0.68349,                 0.5847,                0.66958,                 0.4975,                 1.0418,                 1.0216,                 1.0997,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      5,                 1.1319,                 1.2314,                 1.1983,                0.74743,                0.57826,                0.68565,                0.51304,                 1.0262,                0.99334,                 1.0907,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      6,                 1.1035,                 1.1658,                 1.1752,                  0.725,                0.61784,                0.70297,                0.52716,                 1.0152,                0.96342,                 1.0837,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      7,                  1.049,                 1.1477,                 1.1722,                0.69874,                0.64813,                0.72303,                0.53862,                 1.0097,                0.94413,                  1.079,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      8,                 1.1393,                 1.1717,                 1.1855,                0.71001,                0.68358,                0.72699,                 0.5433,                 1.0112,                0.93178,                 1.0754,             7.7798e-05,             7.7798e-05,             7.7798e-05
                      9,                 1.0812,                 1.1292,                 1.1675,                0.75879,                0.67362,                0.73616,                0.55011,                 1.0074,                0.91457,                 1.0741,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     10,                 1.0469,                 1.0645,                 1.1553,                0.78282,                0.67829,                0.74723,                 0.5576,                0.99853,                0.89519,                 1.0678,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     11,                 1.0384,                  1.071,                 1.1464,                0.76816,                0.69101,                0.75382,                0.56226,                0.99343,                0.87296,                 1.0626,             0.00010074,             0.00010074,             0.00010074
                     12,                 1.1102,                 1.1578,                 1.1836,                 0.7666,                0.69406,                0.75837,                0.56823,                0.98535,                0.85156,                 1.0568,             0.00010486,             0.00010486,             0.00010486
                     13,                  1.037,                 1.0177,                 1.1289,                  0.776,                0.69409,                0.76563,                0.57972,                 0.9745,                0.83023,                 1.0518,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0286,                  1.028,                 1.1613,                0.80654,                0.68961,                0.78272,                  0.597,                0.96554,                0.81583,                 1.0457,             0.00010368,             0.00010368,             0.00010368
                     15,                 1.0469,                0.98337,                 1.1383,                0.82875,                0.70575,                0.78851,                0.60285,                0.95679,                0.80207,                  1.041,             0.00010251,             0.00010251,             0.00010251
                     16,                 1.0392,                 1.0276,                 1.1506,                0.82649,                0.71459,                0.78997,                0.60534,                0.94557,                0.79058,                  1.034,             0.00010133,             0.00010133,             0.00010133
                     17,                 1.0196,                0.98007,                 1.1468,                0.80742,                0.72983,                0.79157,                0.61267,                0.93167,                0.77685,                 1.0262,             0.00010015,             0.00010015,             0.00010015
                     18,                0.95736,                0.93042,                 1.1177,                0.84162,                0.71758,                0.79744,                0.61847,                0.92085,                0.76552,                  1.021,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                0.93719,                0.92846,                 1.1023,                 0.8488,                0.71977,                0.80138,                0.62782,                0.91395,                0.75068,                 1.0166,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                0.96641,                 0.9295,                   1.12,                0.82937,                0.72937,                 0.8047,                0.63581,                0.90952,                0.73997,                 1.0135,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                0.99382,                0.95068,                 1.1315,                0.83624,                0.74158,                0.81202,                0.64003,                0.90347,                0.72971,                 1.0101,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                 0.9876,                0.91836,                 1.1124,                0.83502,                0.74866,                0.81825,                0.64481,                0.89437,                0.71933,                 1.0053,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                0.97951,                0.90874,                 1.1188,                0.84296,                0.74664,                0.82239,                0.64869,                0.88518,                0.70955,                 1.0009,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.99482,                0.90652,                 1.0858,                0.86527,                0.74826,                0.82785,                0.65302,                0.88082,                0.70283,                0.99782,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                0.95087,                0.93251,                  1.106,                0.85946,                 0.7557,                0.83274,                0.65543,                0.88533,                0.69546,                0.99853,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                0.93692,                0.86098,                 1.0673,                0.85542,                0.74784,                0.83167,                0.65867,                0.87985,                0.68435,                0.99504,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                 0.9403,                0.87632,                 1.0839,                0.84922,                0.75276,                0.83814,                0.66307,                0.87729,                0.68162,                0.99452,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                0.98995,                0.88232,                  1.108,                 0.8717,                0.74696,                0.84115,                0.67026,                0.86997,                0.67325,                0.99245,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                0.97424,                0.91641,                 1.1229,                0.83077,                0.76953,                0.83778,                 0.6702,                  0.861,                0.66807,                0.99007,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                 0.9569,                0.86371,                 1.1046,                0.84699,                0.76169,                 0.8407,                 0.6739,                0.85945,                 0.6624,                0.98964,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     31,                0.92406,                0.84431,                 1.1004,                0.81763,                0.77927,                0.84287,                0.67539,                0.85539,                 0.6576,                 0.9885,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     32,                0.91997,                0.84483,                  1.088,                0.83121,                0.78072,                0.84507,                0.67651,                0.85024,                0.65232,                0.98485,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                0.92212,                 0.8669,                 1.0964,                0.83607,                0.78312,                0.84543,                0.67627,                0.84709,                0.64963,                0.98241,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                0.93649,                0.84236,                 1.0786,                 0.8399,                0.78881,                 0.8512,                0.68002,                0.84073,                0.64429,                0.97919,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.93544,                0.81941,                 1.0892,                0.85838,                0.77473,                 0.8519,                0.67809,                0.83327,                 0.6378,                0.97469,             7.8945e-05,             7.8945e-05,             7.8945e-05
